country,Lat,Long,suicides_no,population,suicides100k pop
Albania,41.3275,19.818889,21,312900,6.71
Albania,41.1125,20.082222,16,308000,5.19
Albania,42.0675,19.513056,14,289700,4.83
Albania,41.323056,19.441389,1,21800,4.59
Albania,40.466667,19.489722,9,274300,3.28
Albania,40.723889,19.556111,1,35600,2.81
Albania,40.618611,20.780833,6,278800,2.15
Albania,40.705833,19.952222,4,257200,1.56
Albania,40.941944,19.705,1,137500,0.73
Albania,40.9025,20.6525,0,311000,0
Albania,40.075833,20.138889,0,144600,0
Albania,41.509167,19.792778,0,338200,0
Albania,41.783611,19.643611,2,36400,5.49
Albania,42.076944,20.421944,17,319200,5.33
Albania,41.610278,20.008889,1,22300,4.48
Albania,39.875556,20.005278,14,314100,4.46
Albania,41.685,20.428889,4,140200,2.85
Albania,40.504167,20.227222,8,295600,2.71
Albania,41.210278,20.360556,3,147500,2.03
Albania,40.295833,20.019167,5,262400,1.91
Albania,40.869722,20.184444,5,279900,1.79
Albania,40.233611,20.351667,4,284500,1.41
Albania,41.7675,19.875556,0,317200,0
Albania,41.3275,19.818889,0,345000,0
Albania,41.1125,20.082222,2,22500,8.89
Albania,42.0675,19.513056,18,283600,6.35
Albania,41.323056,19.441389,15,318400,4.71
Albania,40.466667,19.489722,6,142100,4.22
Albania,40.723889,19.556111,12,323500,3.71
Albania,40.618611,20.780833,7,288600,2.43
Albania,40.705833,19.952222,5,299900,1.67
Albania,40.941944,19.705,2,266300,0.75
Albania,40.9025,20.6525,1,149600,0.67
Albania,40.075833,20.138889,0,321900,0
Albania,41.509167,19.792778,0,37000,0
Albania,41.783611,19.643611,0,349700,0
Albania,42.076944,20.421944,12,343800,3.49
Albania,41.610278,20.008889,9,263700,3.41
Albania,39.875556,20.005278,5,159500,3.13
Albania,41.685,20.428889,7,245500,2.85
Albania,40.504167,20.227222,7,292400,2.39
Albania,41.210278,20.360556,4,267400,1.5
Albania,40.295833,20.019167,2,323100,0.62
Albania,40.869722,20.184444,1,164900,0.61
Albania,40.233611,20.351667,0,336700,0
Albania,41.7675,19.875556,0,38700,0
Albania,42.357222,20.073056,0,362900,0
Albania,40.337778,20.678889,0,23900,0
Albania,42.044444,19.899722,18,243300,7.4
Albania,41.3275,19.818889,7,165000,4.24
Albania,41.1125,20.082222,1,24200,4.13
Albania,42.0675,19.513056,9,230100,3.91
Albania,41.323056,19.441389,10,285300,3.51
Albania,40.466667,19.489722,10,350300,2.85
Albania,40.723889,19.556111,7,261800,2.67
Albania,40.618611,20.780833,7,331200,2.11
Albania,40.705833,19.952222,2,169500,1.18
Albania,40.941944,19.705,1,340300,0.29
Albania,40.9025,20.6525,1,367000,0.27
Albania,40.075833,20.138889,0,39300,0
Albania,41.509167,19.792778,2,24600,8.13
Albania,41.783611,19.643611,11,171400,6.42
Albania,42.076944,20.421944,2,39900,5.01
Albania,41.610278,20.008889,6,231400,2.59
Albania,39.875556,20.005278,9,362800,2.48
Albania,41.685,20.428889,6,242200,2.48
Albania,40.504167,20.227222,6,282600,2.12
Albania,41.210278,20.360556,4,261100,1.53
Albania,40.295833,20.019167,2,342500,0.58
Albania,40.869722,20.184444,1,174600,0.57
Albania,40.233611,20.351667,1,371800,0.27
Albania,41.7675,19.875556,0,344400,0
Albania,42.357222,20.073056,13,232900,5.58
Albania,40.337778,20.678889,9,178000,5.06
Albania,42.044444,19.899722,2,40800,4.9
Albania,41.3275,19.818889,13,283500,4.59
Albania,41.1125,20.082222,11,241200,4.56
Albania,42.0675,19.513056,1,25100,3.98
Albania,41.323056,19.441389,14,375900,3.72
Albania,40.466667,19.489722,7,264000,2.65
Albania,40.723889,19.556111,8,356400,2.24
Albania,40.618611,20.780833,6,376500,1.59
Albania,40.705833,19.952222,2,180400,1.11
Albania,40.941944,19.705,2,348700,0.57
Albania,40.9025,20.6525,2,25400,7.87
Albania,40.075833,20.138889,17,243600,6.98
Albania,41.509167,19.792778,14,235300,5.95
Albania,41.783611,19.643611,16,287700,5.56
Albania,42.076944,20.421944,2,41200,4.85
Albania,41.610278,20.008889,10,267900,3.73
Albania,39.875556,20.005278,12,379600,3.16
Albania,41.685,20.428889,9,362000,2.49
Albania,40.504167,20.227222,3,179900,1.67
Albania,41.210278,20.360556,1,183100,0.55
Albania,40.295833,20.019167,2,380400,0.53
Albania,40.869722,20.184444,1,354100,0.28
Albania,40.233611,20.351667,36,236000,15.25
Albania,41.7675,19.875556,33,244400,13.5
Albania,42.357222,20.073056,3,25400,11.81
Albania,40.337778,20.678889,30,380800,7.88
Albania,42.044444,19.899722,21,294000,7.14
Albania,41.3275,19.818889,12,180300,6.66
Albania,41.1125,20.082222,16,273900,5.84
Albania,42.0675,19.513056,2,42100,4.75
Albania,41.323056,19.441389,7,370100,1.89
Albania,40.466667,19.489722,6,361800,1.66
Albania,40.723889,19.556111,4,381500,1.05
Albania,40.618611,20.780833,0,187000,0
Albania,40.705833,19.952222,3,25800,11.63
Albania,40.941944,19.705,27,248800,10.85
Albania,40.9025,20.6525,32,295600,10.83
Albania,40.075833,20.138889,26,240400,10.82
Albania,41.509167,19.792778,29,388200,7.47
Albania,41.783611,19.643611,9,183800,4.9
Albania,42.076944,20.421944,10,275300,3.63
Albania,41.610278,20.008889,6,188200,3.19
Albania,39.875556,20.005278,9,372100,2.42
Albania,41.685,20.428889,2,388400,0.51
Albania,40.504167,20.227222,1,363800,0.27
Albania,41.210278,20.360556,0,42300,0
Albania,40.295833,20.019167,3,25900,11.58
Albania,40.869722,20.184444,24,250600,9.58
Albania,40.233611,20.351667,4,42400,9.43
Albania,41.7675,19.875556,31,391100,7.93
Albania,42.357222,20.073056,19,242300,7.84
Albania,40.337778,20.678889,14,185200,7.56
Albania,42.044444,19.899722,19,296800,6.4
Albania,41.3275,19.818889,13,276500,4.7
Albania,41.1125,20.082222,6,188800,3.18
Albania,42.0675,19.513056,5,373600,1.34
Albania,41.323056,19.441389,1,365200,0.27
Albania,40.466667,19.489722,0,391300,0
Albania,40.723889,19.556111,17,232000,7.33
Albania,40.618611,20.780833,10,177400,5.64
Albania,40.705833,19.952222,2,37800,5.29
Albania,40.941944,19.705,1,24900,4.02
Albania,40.9025,20.6525,6,263900,2.27
Albania,40.075833,20.138889,5,240000,2.08
Albania,41.509167,19.792778,5,332200,1.51
Albania,41.783611,19.643611,3,245800,1.22
Albania,42.076944,20.421944,4,374700,1.07
